ad_id,title,date_post,car_id,user_id,location_id
1,Jual Mobil Honda Civic Tahun 2010 di Kota Bukittinggi,2024-05-17,42,32,1375
2,Jual Mobil Daihatsu Xenia Tahun 2019 di Kota Malang,2024-07-09,26,86,3573
3,Jual Murah Honda Tahun 2018 di Kota Malang,2024-10-31,36,18,3573
4,Jual Mobil Honda Civic Tahun 2013 di Kota Samarinda,2024-02-08,44,39,6472
5,Jual Cepat Honda Tahun 2018 di Kota Denpasar,2024-10-30,40,97,5171
6,Jual Cepat Suzuki Tahun 2018 di Kota Jakarta Barat,2024-05-28,47,60,3173
7,Jual Murah Daihatsu Tahun 2019 di Kota Balikpapan,2024-02-25,23,38,6471
8,Jual Murah Toyota Tahun 2019 di Kota Bukittinggi,2023-12-23,6,89,1375
9,Jual Cepat Honda Tahun 2017 di Kota Jakarta Utara,2024-07-03,37,66,3172
10,Jual Cepat Toyota Tahun 2022 di Kota Jakarta Selatan,2024-07-18,9,71,3174
11,Jual Murah Honda Tahun 2018 di Kota Bandung,2024-01-17,31,58,3273
12,Jual Cepat Toyota Tahun 2019 di Kota Malang,2024-03-09,12,73,3573
13,Jual Cepat Daihatsu Tahun 2018 di Kota Denpasar,2024-11-03,21,31,5171
14,Jual Mobil Toyota Agya Tahun 2014 di Kota Jakarta Selatan,2024-04-30,7,5,3174
15,Jual Murah Daihatsu Tahun 2016 di Kota Makassar,2023-11-27,16,96,7371
16,Jual Cepat Suzuki Tahun 2015 di Kota Jakarta Selatan,2024-08-18,46,15,3174
17,Jual Mobil Suzuki Ertiga Tahun 2018 di Kota Makassar,2023-12-22,50,86,7371
18,Jual Murah Honda Tahun 2015 di Kota Yogyakarta,2024-10-30,34,100,3471
19,Jual Murah Honda Tahun 2019 di Kota Samarinda,2024-06-26,32,83,6472
20,Jual Murah Honda Tahun 2019 di Kota Jakarta Barat,2023-11-23,45,6,3173
21,Jual Mobil Toyota Yaris Tahun 2018 di Kota Jakarta Selatan,2024-09-01,2,95,3174
22,Jual Cepat Daihatsu Tahun 2022 di Kota Jakarta Timur,2024-08-09,22,50,3175
23,Jual Cepat Daihatsu Tahun 2017 di Kota Padang,2023-12-11,24,51,1371
24,Jual Cepat Daihatsu Tahun 2018 di Kota Jakarta Utara,2024-04-01,25,9,3172
25,Jual Cepat Toyota Tahun 2016 di Kota Jakarta Barat,2023-12-06,8,24,3173
26,Jual Cepat Toyota Tahun 2017 di Kota Surabaya,2024-01-01,13,94,3578
27,Jual Murah Toyota Tahun 2019 di Kota Yogyakarta,2024-10-08,11,64,3471
28,Jual Cepat Honda Tahun 2013 di Kota Bukittinggi,2024-05-27,43,76,1375
29,Jual Murah Honda Tahun 2016 di Kota Samarinda,2024-05-09,39,19,6472
30,Jual Murah Suzuki Tahun 2016 di Kota Jakarta Timur,2024-10-11,48,28,3175
31,Jual Murah Toyota Tahun 2014 di Kota Jakarta Barat,2024-10-11,3,11,3173
32,Jual Murah Toyota Tahun 2020 di Kota Denpasar,2024-10-16,4,26,5171
33,Jual Mobil Toyota Calya Tahun 2016 di Kota Bandung,2024-09-10,14,14,3273
34,Jual Murah Honda Tahun 2013 di Kota Jakarta Barat,2024-10-26,35,1,3173
35,Jual Cepat Honda Tahun 2009 di Kota Balikpapan,2024-04-19,38,44,6471
36,Jual Murah Daihatsu Tahun 2017 di Kota Jakarta Timur,2024-03-28,19,58,3175
37,Jual Mobil Daihatsu Xenia Tahun 2014 di Kota Jakarta Utara,2024-05-23,29,9,3172
38,Jual Mobil Daihatsu Xenia Tahun 2018 di Kota Bandung,2024-01-28,30,17,3273
39,Jual Cepat Daihatsu Tahun 2015 di Kota Yogyakarta,2024-08-15,18,18,3471
40,Jual Mobil Daihatsu Ayla Tahun 2017 di Kota Denpasar,2024-01-31,20,64,5171
41,Jual Murah Honda Tahun 2018 di Kota Jakarta Pusat,2024-11-03,41,52,3171
42,Jual Murah Toyota Tahun 2012 di Kota Jakarta Utara,2024-09-18,5,2,3172
43,Jual Mobil Toyota Yaris Tahun 2016 di Kota Jakarta Barat,2024-07-23,1,57,3173
44,Jual Mobil Suzuki Ertiga Tahun 2012 di Kota Malang,2024-08-23,49,17,3573
45,Jual Murah Toyota Tahun 2017 di Kota Jakarta Utara,2024-09-13,10,36,3172
46,Jual Murah Daihatsu Tahun 2019 di Kota Padang,2024-06-23,17,81,1371
47,Jual Cepat Daihatsu Tahun 2022 di Kota Bukittinggi,2024-04-24,27,11,1375
48,Jual Murah Honda Tahun 2018 di Kota Samarinda,2023-11-10,33,13,6472
49,Jual Mobil Toyota Calya Tahun 2016 di Kota Surabaya,2024-05-14,15,2,3578
50,Jual Mobil Daihatsu Xenia Tahun 2017 di Kota Jakarta Selatan,2024-04-30,28,27,3174
