bid_id,ad_id,user_id,bid_amount,bid_date,bid_status
B-001,1,38,140250000,2024-10-27,1
B-002,2,38,125800000,2024-09-15,0
B-003,3,9,319550000,2024-11-01,0
B-004,4,36,132460000,2024-05-17,1
B-005,5,83,318800000,2024-11-02,1
B-006,6,2,133500000,2024-06-12,1
B-007,7,24,170910000,2024-06-28,0
B-008,8,52,92340000,2024-09-26,0
B-009,9,1,324300000,2024-10-04,1
B-010,10,36,116625000,2024-09-26,0
B-011,11,97,217120000,2024-05-04,1
B-012,12,71,109600000,2024-06-18,0
B-013,13,58,138700000,2024-11-07,1
B-014,14,2,85360000,2024-10-16,1
B-015,15,38,78850000,2024-02-28,0
B-016,16,11,103750000,2024-08-24,0
B-017,17,58,151970000,2024-07-24,1
B-018,18,64,180480000,2024-11-07,1
B-019,19,36,205000000,2024-07-20,1
B-020,20,13,298125000,2024-05-17,1
B-021,21,15,174150000,2024-09-09,0
B-022,22,2,180630000,2024-09-18,1
B-023,23,19,157700000,2024-03-17,0
B-024,24,81,170850000,2024-09-22,1
B-025,25,39,81400000,2024-03-11,0
B-026,26,32,87780000,2024-09-29,0
B-027,27,17,98800000,2024-10-16,1
B-028,28,26,133920000,2024-10-20,0
B-029,29,57,212510000,2024-05-25,1
B-030,30,11,136080000,2024-10-16,1
B-031,31,11,152280000,2024-10-13,1
B-032,32,96,169400000,2024-10-24,1
B-033,33,50,74880000,2024-11-06,0
B-034,34,27,149520000,2024-10-27,1
B-035,35,58,102080000,2024-10-30,1
B-036,36,100,82800000,2024-08-02,0
B-037,37,28,89000000,2024-10-18,1
B-038,38,11,135150000,2024-11-08,1
B-039,39,19,83520000,2024-09-15,0
B-040,40,83,97180000,2024-05-21,1
B-041,41,19,297500000,2024-11-07,0
B-042,42,11,116560000,2024-10-16,0
B-043,43,52,145250000,2024-09-09,0
B-044,44,32,90000000,2024-10-13,1
B-045,45,81,98175000,2024-11-06,0
B-046,46,94,103200000,2024-09-12,1
B-047,47,86,205065000,2024-08-06,1
B-048,48,32,177120000,2024-07-02,1
B-049,49,13,96300000,2024-05-24,1
B-050,50,73,98550000,2024-09-20,0
